,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Distance,Venue Category
0,Charlottenburg-Wilmersdorf,52.497058,13.29649,Oscars,52.501885,13.307736,932,Movie Theater
1,Charlottenburg-Wilmersdorf,52.497058,13.29649,Private Cinema,52.513103,13.301306,1815,Movie Theater
2,Charlottenburg-Wilmersdorf,52.497058,13.29649,Grusel Horror Modus,52.511207580566406,13.31188678741455,1889,Indie Movie Theater
3,Charlottenburg-Wilmersdorf,52.497058,13.29649,filmkunst66,52.50433402749074,13.31980625798275,1775,Movie Theater
4,Charlottenburg-Wilmersdorf,52.497058,13.29649,Klick Kino,52.505314,13.299631,943,Movie Theater
5,Charlottenburg-Wilmersdorf,52.497058,13.29649,Kant-Kino,52.50666546861855,13.308512300610673,1344,Movie Theater
6,Friedrichshain-Kreuzberg,52.5015,13.43512,UCI Luxe Kino,52.50527707908021,13.442169427871704,636,Multiplex
7,Friedrichshain-Kreuzberg,52.5015,13.43512,CineStar Treptower Park,52.49196853636573,13.458216653610705,1891,Multiplex
8,Friedrichshain-Kreuzberg,52.5015,13.43512,Erotixx,52.504363624985274,13.448570052742296,965,Movie Theater
9,Friedrichshain-Kreuzberg,52.5015,13.43512,Babylon,52.50064513495082,13.417128187942264,1222,Indie Movie Theater
10,Friedrichshain-Kreuzberg,52.5015,13.43512,regenbogenKINO,52.49621612200503,13.426516889348163,828,Movie Theater
11,Friedrichshain-Kreuzberg,52.5015,13.43512,Moviemento,52.49047834243085,13.423563140071089,1455,Indie Movie Theater
12,Friedrichshain-Kreuzberg,52.5015,13.43512,Freiluftkino Insel im Cassiopeia,52.506850334908926,13.454227691332497,1425,Indie Movie Theater
13,Friedrichshain-Kreuzberg,52.5015,13.43512,Binge Watching,52.488726915576976,13.425259127274032,1571,Indie Movie Theater
14,Friedrichshain-Kreuzberg,52.5015,13.43512,IL KINO,52.49163582724672,13.432972976382707,1107,Indie Movie Theater
15,Friedrichshain-Kreuzberg,52.5015,13.43512,Factory Cinema,52.494169,13.446281,1112,Movie Theater
16,Friedrichshain-Kreuzberg,52.5015,13.43512,Kunsthalle,52.50679444364095,13.42456096163079,926,Movie Theater
17,Friedrichshain-Kreuzberg,52.5015,13.43512,Am Flutgraben 3,52.497289,13.45158,1209,Movie Theater
18,Friedrichshain-Kreuzberg,52.5015,13.43512,Floßkino,52.49191613060338,13.441140140388937,1142,Movie Theater
19,Friedrichshain-Kreuzberg,52.5015,13.43512,fsk Kino,52.50192137511588,13.415113870318526,1356,Indie Movie Theater
20,Friedrichshain-Kreuzberg,52.5015,13.43512,Franzmann,52.51867,13.438811,1927,Indie Movie Theater
21,Friedrichshain-Kreuzberg,52.5015,13.43512,Campingplatzkino,52.503157,13.408855,1789,Indie Movie Theater
22,Friedrichshain-Kreuzberg,52.5015,13.43512,TLGG Sommerkino,52.49644,13.422538,1021,Indie Movie Theater
