,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Distance,Venue Category
0,Charlottenburg-Wilmersdorf,52.497058,13.29649,Wilmersdorfer Arcaden,52.50932581351016,13.304893970489502,1479,Shopping Mall
1,Charlottenburg-Wilmersdorf,52.497058,13.29649,Kant-Center,52.50640874112268,13.306723010861502,1250,Shopping Mall
2,Charlottenburg-Wilmersdorf,52.497058,13.29649,Berlin Showroom,52.50194171167996,13.31951630639141,1652,Shopping Mall
3,Charlottenburg-Wilmersdorf,52.497058,13.29649,Mega Sonic,52.50584040517923,13.303920396992886,1099,Shopping Mall
4,Charlottenburg-Wilmersdorf,52.497058,13.29649,Ku-Damm Karree,52.50080952468212,13.323524560425577,1879,Shopping Mall
5,Charlottenburg-Wilmersdorf,52.497058,13.29649,Victoria Secret,52.50538799709597,13.300836629004213,972,Shopping Mall
7,Charlottenburg-Wilmersdorf,52.497058,13.29649,Handy Germany Adem,52.505888,13.305958,1173,Shopping Mall
10,Charlottenburg-Wilmersdorf,52.497058,13.29649,Der Schaumstoffladen Berlin,52.490844,13.298945,711,Shopping Mall
11,Friedrichshain-Kreuzberg,52.5015,13.43512,East Side Mall,52.506157,13.447022,958,Shopping Mall
12,Friedrichshain-Kreuzberg,52.5015,13.43512,Park Center Treptow,52.491015847458215,13.457224223706094,1899,Shopping Mall
13,Friedrichshain-Kreuzberg,52.5015,13.43512,playstixx Dildos,52.49714179994025,13.418680558793024,1215,Shopping Mall
15,Friedrichshain-Kreuzberg,52.5015,13.43512,Getränkeshop,52.491396215444176,13.455145526748215,1762,Shopping Mall
17,Friedrichshain-Kreuzberg,52.5015,13.43512,City Carré,52.511820938979014,13.433358762197221,1155,Shopping Mall
18,Friedrichshain-Kreuzberg,52.5015,13.43512,Delice Supermarkt,52.485757,13.431174,1772,Shopping Mall
19,Friedrichshain-Kreuzberg,52.5015,13.43512,Corsair-World,52.51063142,13.45126697,1493,Shopping Mall
20,Friedrichshain-Kreuzberg,52.5015,13.43512,Casa de Gatinha,52.5000132,13.4319127,273,Shopping Mall
21,Lichtenberg,52.514581,13.498392,Ring-Center 2,52.51387040010162,13.476512432098389,1484,Shopping Mall
22,Lichtenberg,52.514581,13.498392,Ring-Center 1,52.5140447,13.47407936,1648,Shopping Mall
25,Lichtenberg,52.514581,13.498392,MauritiusKirchCenter (MKC),52.512342531189184,13.477885723114012,1411,Shopping Mall
27,Lichtenberg,52.514581,13.498392,Möllendorf Passagen,52.52386905723856,13.479676420128303,1635,Shopping Mall
28,Marzahn-Hellersdorf,52.53972,13.58428,KaufPark Eiche,52.54863233506712,13.598908783164909,1401,Shopping Mall
29,Marzahn-Hellersdorf,52.53972,13.58428,Corso,52.53000717816051,13.594961110959224,1300,Shopping Mall
30,Marzahn-Hellersdorf,52.53972,13.58428,Orion Hellersdorf,52.54484929132562,13.607156907899524,1650,Shopping Mall
31,Marzahn-Hellersdorf,52.53972,13.58428,Marktplatz Center,52.5376838096101,13.60495349150882,1417,Shopping Mall
32,Marzahn-Hellersdorf,52.53972,13.58428,Helle Mitte,52.53781312958724,13.604142665863037,1361,Shopping Mall
33,Marzahn-Hellersdorf,52.53972,13.58428,Spree Center,52.521890408813476,13.5868451548408,1992,Shopping Mall
35,Mitte,52.51674,13.36679,Potsdamer Platz Arkaden,52.507901291432376,13.374433372817991,1111,Shopping Mall
36,Mitte,52.51674,13.36679,Schultheiss Quartier,52.52680292262519,13.343925476074217,1911,Shopping Mall
37,Mitte,52.51674,13.36679,Mall of Berlin,52.51053451604047,13.380936480568874,1181,Shopping Mall
38,Mitte,52.51674,13.36679,The Q.,52.51254473765557,13.390049437490184,1643,Shopping Mall
39,Mitte,52.51674,13.36679,Friedrichstadt-Passagen,52.513334999092855,13.389801979064941,1604,Shopping Mall
40,Mitte,52.51674,13.36679,KAHLA Shop & Café - Point of Brand,52.526456973352445,13.387055397033691,1747,Shopping Mall
50,Mitte,52.51674,13.36679,Dreispitzpassage,52.52407441851206,13.387023210525513,1595,Shopping Mall
54,Mitte,52.51674,13.36679,Passerelle Food & Shops,52.509844799305355,13.375803821947068,980,Shopping Mall
55,Neukölln,52.4802,13.43364,Park Center Treptow,52.491015847458215,13.457224223706094,2001,Shopping Mall
56,Neukölln,52.4802,13.43364,HermannQuartier,52.4673436131507,13.431826788366813,1436,Shopping Mall
57,Neukölln,52.4802,13.43364,Neuköllner Tor,52.46884782819083,13.443574905395508,1432,Shopping Mall
58,Neukölln,52.4802,13.43364,Neukölln Arcaden,52.481974964856676,13.432478302900122,212,Shopping Mall
59,Neukölln,52.4802,13.43364,Kindl Boulevard,52.47873159587009,13.426147679704153,533,Shopping Mall
60,Neukölln,52.4802,13.43364,Getränkeshop,52.491396215444176,13.455145526748215,1917,Shopping Mall
61,Neukölln,52.4802,13.43364,Delice Supermarkt,52.485757,13.431174,640,Shopping Mall
62,Neukölln,52.4802,13.43364,Fristo Getränkemarkt,52.465181,13.419116,1940,Shopping Mall
63,Neukölln,52.4802,13.43364,Getränkezentrale,52.47064,13.432196,1068,Shopping Mall
65,Pankow,52.57105,13.40497,Rathaus-Center Pankow,52.56982594206178,13.403982572771627,151,Shopping Mall
66,Pankow,52.57105,13.40497,Neumann Forum,52.56110363641494,13.422728776931763,1633,Shopping Mall
67,Pankow,52.57105,13.40497,Forum Pankow,52.57215140317362,13.41714728302819,832,Shopping Mall
68,Reinickendorf,52.56755,13.33165,Der Clou,52.56306471108978,13.328055632148603,555,Shopping Mall
69,Spandau,52.55009,13.200356,Spandau Arcaden,52.53387796657927,13.196747303009033,1821,Shopping Mall
70,Spandau,52.55009,13.200356,Center am Juliusturm,52.5373805950186,13.218461334942806,1871,Shopping Mall
72,Spandau,52.55009,13.200356,Massagesessel,52.533825,13.196091,1833,Shopping Mall
73,Tempelhof-Schöneberg,52.44763,13.38535,Tempelhofer Hafen,52.45543405941892,13.385038375854492,868,Shopping Mall
74,Tempelhof-Schöneberg,52.44763,13.38535,T-Damm Center,52.4586211256563,13.383373230883965,1230,Shopping Mall
75,Tempelhof-Schöneberg,52.44763,13.38535,Lerros Stores,52.44872666616586,13.382296448763643,240,Shopping Mall
76,Tempelhof-Schöneberg,52.44763,13.38535,Markthalle Tempelhof,52.4585067747166,13.383042812347412,1220,Shopping Mall
77,Treptow-Köpenick,52.445817,13.57458,Forum Köpenick,52.45825835038316,13.577277660369871,1396,Shopping Mall
78,Treptow-Köpenick,52.445817,13.57458,Allende Center,52.441523652793094,13.586660116219841,948,Shopping Mall
79,Treptow-Köpenick,52.445817,13.57458,Görtz,52.45833747053637,13.57677950357811,1401,Shopping Mall
