,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Distance,Venue Category
0,Charlottenburg-Wilmersdorf,52.497058,13.29649,Parkhaus Kant-Center,52.50594691300834,13.307516198403272,1239,Parking
1,Charlottenburg-Wilmersdorf,52.497058,13.29649,Tiefgarage,52.49830668796795,13.296205820856958,140,Parking
2,Charlottenburg-Wilmersdorf,52.497058,13.29649,CONTIPARK Parkhaus Wilmersdorfer Arcaden,52.5099,13.304278,1523,Parking
3,Charlottenburg-Wilmersdorf,52.497058,13.29649,Interparking,52.50122769,13.2743408,1571,Parking
4,Charlottenburg-Wilmersdorf,52.497058,13.29649,Parkhaus Knesebeckstr.,52.50312434695144,13.321853679670653,1846,Parking
5,Charlottenburg-Wilmersdorf,52.497058,13.29649,CONTIPARK Tiefgarage Leibniz Kolonnaden,52.502822,13.313284,1306,Parking
6,Charlottenburg-Wilmersdorf,52.497058,13.29649,Mittelstreifen,52.498158,13.297264,133,Parking
7,Charlottenburg-Wilmersdorf,52.497058,13.29649,Parkplatz P9,52.506866,13.281452,1493,Parking
8,Charlottenburg-Wilmersdorf,52.497058,13.29649,CONTIPARK Parkhaus ICC,52.502704,13.279946,1285,Parking
9,Charlottenburg-Wilmersdorf,52.497058,13.29649,Leihhaus,52.502657776624034,13.307422698690594,968,Parking
10,Friedrichshain-Kreuzberg,52.5015,13.43512,Central Park,52.506963636256,13.429119619521241,731,Parking
11,Friedrichshain-Kreuzberg,52.5015,13.43512,DB BahnPark Parkplatz Ostbahnhof P1,52.509517,13.434085,895,Parking
12,Friedrichshain-Kreuzberg,52.5015,13.43512,Parkplatz Metro,52.50987432303624,13.443059921264648,1076,Parking
13,Friedrichshain-Kreuzberg,52.5015,13.43512,Parkdeck Kottbusser Tor,52.500004,13.4198,1051,Parking
14,Friedrichshain-Kreuzberg,52.5015,13.43512,X-Berg Parking,52.49948713028755,13.41835901912691,1157,Parking
