,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Distance,Venue Category
0,Charlottenburg-Wilmersdorf,52.497058,13.29649,Stadion Wilmersdorf,52.48463449704732,13.302413019894047,1440,Football Stadium
1,Charlottenburg-Wilmersdorf,52.497058,13.29649,Kurfürster Ballspiel,52.50559126590063,13.318931060588243,1793,Baseball Stadium
3,Friedrichshain-Kreuzberg,52.5015,13.43512,Lasker-Sportanlage,52.5017993133932,13.46070764771868,1734,Stadium
5,Friedrichshain-Kreuzberg,52.5015,13.43512,KMA Murmel-Liga Stadion,52.51665472984161,13.448596000670996,1918,Stadium
6,Friedrichshain-Kreuzberg,52.5015,13.43512,TLGG Stadion,52.496341,13.42257,1026,Soccer Stadium
7,Friedrichshain-Kreuzberg,52.5015,13.43512,Pro Sport Berlin 24 e.V.,52.511185,13.410267,1999,Stadium
8,Friedrichshain-Kreuzberg,52.5015,13.43512,FSV Hansa 07,52.500797185298055,13.437894302818403,203,Soccer Stadium
9,Friedrichshain-Kreuzberg,52.5015,13.43512,N+H Boule Battlefield,52.502138,13.415686,1318,Stadium
10,Lichtenberg,52.514581,13.498392,Stadion Friedrichsfelde,52.504903,13.506476,1208,Stadium
11,Lichtenberg,52.514581,13.498392,"HOWOGE-Arena ""Hans Zoschke""",52.516717056888126,13.486640453338623,830,Soccer Stadium
12,Mitte,52.51674,13.36679,Poststadion,52.52958606852346,13.360494839254562,1492,Soccer Stadium
13,Mitte,52.51674,13.36679,Tennisclub Schwarz-Weiß Tiergarten,52.531404441502154,13.356006145477293,1788,Tennis Stadium
14,Neukölln,52.4802,13.43364,Geminon,52.482358446942335,13.446254369171383,888,Cricket Ground
15,Neukölln,52.4802,13.43364,TLGG Stadion,52.496341,13.42257,1947,Soccer Stadium
17,Reinickendorf,52.56755,13.33165,BTC Rot-Gold,52.55247912806365,13.330538544894466,1679,Tennis Stadium
18,Reinickendorf,52.56755,13.33165,TSV Wedding,52.552256759058054,13.334056539281072,1710,Tennis Stadium
19,Spandau,52.55009,13.200356,Stadion Hakenfelde,52.567384085036174,13.203195333480835,1934,Stadium
20,Spandau,52.55009,13.200356,Helmut Schleusener-Stadion,52.54553101382678,13.193163501415512,703,Stadium
21,Steglitz-Zehlendorf,52.44364,13.22908,Tennisclub Zehlendorf 88,52.44406976135248,13.249893358768555,1413,Tennis Stadium
22,Tempelhof-Schöneberg,52.44763,13.38535,Sportplatz Markgrafenstraße,52.45047224766155,13.379085410739393,529,Football Stadium
23,Tempelhof-Schöneberg,52.44763,13.38535,Volksparkstadion,52.44318198851528,13.395309865092898,837,Stadium
24,Treptow-Köpenick,52.445817,13.57458,Stadion An der Alten Försterei,52.457305,13.567941,1355,Soccer Stadium
25,Treptow-Köpenick,52.445817,13.57458,Sektor 2 (Waldseite),52.45797396817557,13.567793369293213,1429,Soccer Stadium
26,Treptow-Köpenick,52.445817,13.57458,Sektor 3,52.45781247013437,13.568544387817383,1396,Soccer Stadium
27,Treptow-Köpenick,52.445817,13.57458,Sektor 1 (Haupttribüne),52.457218875470154,13.567342758178711,1360,Soccer Stadium
28,Treptow-Köpenick,52.445817,13.57458,Sektor 4,52.45692468000169,13.568887710571289,1295,Soccer Stadium
29,Treptow-Köpenick,52.445817,13.57458,Block C2,52.456889,13.566833,1339,Stadium
