,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Distance,Venue Category
0,Charlottenburg-Wilmersdorf,52.497058,13.29649,Bahnhof Berlin-Charlottenburg,52.504702,13.302984,957,Train Station
2,Charlottenburg-Wilmersdorf,52.497058,13.29649,Rangierbahnhof Grunewald,52.49193,13.268958,1951,Train Station
10,Charlottenburg-Wilmersdorf,52.497058,13.29649,Betriebsbahnhof Grunewald,52.495571658679246,13.276870250701904,1339,Train Station
31,Friedrichshain-Kreuzberg,52.5015,13.43512,Berlin Ostbahnhof,52.51068680180794,13.434618531140755,1023,Train Station
59,Friedrichshain-Kreuzberg,52.5015,13.43512,DB Service Center Personal (Borddienste),52.51085059872238,13.434203148949939,1042,Train Station
65,Friedrichshain-Kreuzberg,52.5015,13.43512,"Bimmelbahn Vierenstrasse, Neudorf",52.50570854,13.43066664,557,Train Station
81,Lichtenberg,52.514581,13.498392,Bahnhof Berlin-Lichtenberg,52.509665367833506,13.497133255004883,553,Train Station
85,Lichtenberg,52.514581,13.498392,"H Rüdigerstr. Bus [240, N50, N56]",52.516177,13.494584,313,Train Station
96,Lichtenberg,52.514581,13.498392,Lichtenberg vorm Einfahrsignal,52.50825500488281,13.49429988861084,756,Train Station
98,Lichtenberg,52.514581,13.498392,wc center,52.51017761230469,13.496418952941895,508,Train Station
105,Mitte,52.51674,13.36679,Berlin Hauptbahnhof,52.525236872043564,13.369232070074341,960,Train Station
106,Mitte,52.51674,13.36679,Bahnhof Berlin Friedrichstraße,52.52028438859317,13.387062800611602,1428,Train Station
107,Mitte,52.51674,13.36679,Bahnhof Berlin Potsdamer Platz,52.509722699579015,13.37659678898891,1025,Train Station
150,Mitte,52.51674,13.36679,Kli Kla Klawitterzug,52.524957,13.369526,933,Train Station
156,Neukölln,52.4802,13.43364,Rangierbahnhof Neukölln,52.468829,13.440346,1344,Train Station
157,Neukölln,52.4802,13.43364,Ehemaliger Treptower Güterbahnhof,52.481436,13.458304,1677,Train Station
163,Pankow,52.57105,13.40497,Alter Güterbahnhof,52.57817283010163,13.430018894221307,1870,Train Station
165,Reinickendorf,52.56755,13.33165,U Rehberge,52.55557021151001,13.343411678190035,1553,Metro Station
167,Spandau,52.55009,13.200356,Bahnhof Berlin-Spandau,52.534543832051696,13.197950826754175,1738,Train Station
169,Spandau,52.55009,13.200356,Spandau OstHe,52.535628521679165,13.182802303995457,2000,Train Station
204,Tempelhof-Schöneberg,52.44763,13.38535,U6,52.438854,13.387555,988,Train Station
